Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Age_qt,Fare_qt,Pclass_scaled,Sex_scaled,Age_qt_scaled,SibSp_scaled,Parch_scaled,Fare_qt_scaled,Embarked_scaled
0,3,1,22.0,1,0,7.25,2,-0.6951298207741817,-1.371109957500587,1.0,1.0,0.43315207853187637,0.125,0.0,0.36814570743360975,1.0
1,1,0,38.0,1,0,71.2833,0,0.8259761252005041,1.1968574876179017,0.0,0.0,0.5794308998041521,0.125,0.0,0.6150971127131478,0.0
1,3,0,26.0,0,0,7.925,2,-0.39154994094607326,-0.6417398902624202,1.0,0.0,0.4623461705678389,0.0,0.0,0.43828637974458046,1.0
1,1,0,35.0,1,0,53.1,2,0.6634943012767216,0.9890364862071737,0.0,0.0,0.5638056570361273,0.125,0.0,0.5951117782251508,1.0
0,3,1,35.0,0,0,8.05,2,0.6634943012767216,-0.5371234195074972,1.0,1.0,0.5638056570361273,0.0,0.0,0.4483469373725304,1.0
0,3,1,29.69911764705882,0,0,8.4583,1,0.0754209895566442,-0.44623666570911386,1.0,1.0,0.5072529421593373,0.0,0.0,0.45708716171395325,0.5
0,1,1,54.0,0,0,51.8625,2,1.6342593330344206,0.9293544783208353,0.0,1.0,0.6571603408131788,0.0,0.0,0.5893723924921064,1.0
0,3,1,2.0,3,1,21.075,2,-2.0529218210912896,0.24609173299677983,1.0,1.0,0.3025785219266238,0.375,0.16666666666666666,0.5236656813522597,1.0
1,3,0,27.0,0,2,11.1333,2,-0.33785701481395763,-0.22543191421592446,1.0,0.0,0.4675096096866259,0.0,0.3333333333333333,0.4783210927660373,1.0
1,2,0,14.0,1,0,30.0708,0,-1.390659654897429,0.638283277221717,0.5,0.0,0.3662656893461075,0.125,0.0,0.561381211262582,0.0
1,3,0,4.0,1,1,16.7,2,-1.7734612670109726,0.13858315006072774,1.0,0.0,0.32945315255386226,0.125,0.16666666666666666,0.5133270005850489,1.0
1,1,0,58.0,0,0,26.55,2,1.8375261172524597,0.49692991228751277,0.0,0.0,0.6767077140108874,0.0,0.0,0.5477878099218253,1.0
0,3,1,20.0,0,0,8.05,2,-0.8728120489963159,-0.5371234195074972,1.0,1.0,0.4160650722164084,0.0,0.0,0.4483469373725304,1.0
0,3,1,39.0,1,5,31.275,2,0.8764940252602996,0.6919353083649279,1.0,1.0,0.584289009059101,0.125,0.8333333333333333,0.5665407176699173,1.0
0,3,0,14.0,0,0,7.8542,2,-1.390659654897429,-0.8654833564602948,1.0,0.0,0.3662656893461075,0.0,0.0,0.4167698439704556,1.0
1,2,0,55.0,0,0,16.0,2,1.6851220586789428,0.11020867604371598,0.5,0.0,0.6620516105986034,0.0,0.0,0.5105983381770075,1.0
0,3,1,2.0,4,1,29.125,1,-2.0529218210912896,0.5961093109897605,1.0,1.0,0.3025785219266238,0.5,0.16666666666666666,0.5573255055537766,0.5
1,2,1,29.69911764705882,0,0,13.0,2,0.0754209895566442,-0.10821183727244707,0.5,1.0,0.5072529421593373,0.0,0.0,0.4895936900036676,1.0
